track_name,lyrics
TOY GIRL (with Juno & Valentino Rose),
Trenches Luv,"Have been sitting inna the corner my room all drunk baby girl
I forgave you many times even when you fucked up baby girl
Red flag biti Japan but I lock baby girl
Traumas with my ex?
Traumas oo
Left plenty scenarios in my head
Anytime I loose touch, you on top me
You handcuff me
You ungodly me
Your pattern still dey mud me
And I like the way that you ride it
Am a badboy am a snatcher but am afraid karma fii later catch-up yeah
I don’t wanna loose you baby ooo
If I ever leave here, if I ever double up
Next one I go double up, my hеart e no strong fii love
Igba nba jo, konilu magbelulo
For your casе maaranju gan oyege iyeiye
You know me I be trenches boy
I no really sabi love, even if I sabi love
I no really sabi trust
Moodswing I dey happy and sad oo, baby shoma gbo gbo temi ooo
If you no ready so ma sare semi ooo
And when you down shoma raye temi ooo
There’s fire on the mountain
There’s fire on the mountain
My steeze I dey maintain composure, composure
Over anything make dem no go see me finish
Make dem no go see me finish, no go ever let a girl know your secret
Omoba omoba yato somo oloye
Dey your lane make I dey lane
Yayo, ogbeni salo
Oliver, only jaho, twist oliver ooo
Money bag oo, make e fat oo
Big bag
Love I no phantom
Koyemi sir ooo
Anytime I loose touch, you on top me
You handcuff me
You ungodly me
Your pattern still dey mud me
And I like the way that you ride it
Am a badboy am a snatcher but am afraid karma fii later catch-up yeh
I don’t wanna loose you baby ooo
If I ever leave here, if I ever double up
Next one I go double up, my heart e no strong fii love
Igba nba jo, konilu magbelulo
For your case maaranju gan oyege iyeiye
You know me I be trenches boy
I no really sabi love, even if I sabi love
I no really sabi trust
Moodswing I dey happy and sad oo, baby shoma gbo gbo temi ooo
If you no ready so ma sare semi ooo
And when you down shoma raye temi ooo"
"Abantwana Bakho (feat. Thatohatsi, Young Stunna & Nkosazana Daughter)","20th Metro FM Music Awards: 2 Years Of Greatness
The 2026 Metro FM Music Awards marked the 20th anniversary edition of one of South Africa's most defining music award institutions — a full-circle moment celebrating two decades of shaping and amplifying the sound of the new-age culture.
Broadcast live on SABC 1, the ceremony stood as more than just an awards night — it was a timestamp. A reflection of how far the game has come and where its currently positioned in the global conversation.
Carrying the themе ""Two Decades Of Greatnеss"", the night leaned into legacy while still keeping its eyes on the future — honoring the pioneers who paved the way, while spotlighting the new generation pushing boundaries across genres like amapiano, hip-hop and beyond.
On hosting duties, the ceremony brought together a blend of experience with the likes of Lerato Kgayago and Lawrence Maleka, maintaining that balance Metro FM has become known for — polished.
Heading into the awards, the nominations reflected a scene still heavily influenced by the dominance of amapiano, with key players like Kabza De Small, Tyler ICU and Tyla continuing to lead the charge, while other genres held their ground across major categories.
By the end of the night, many fans had different thoughts on some of the nights winners, more notably the controversial ""Zee Nxumalo"" snub, where she lost all 7 awards. Stogie T also had the internet talking after bagging the Best Hip-Hip award for the hit single Four Horsemen which features A-Reece, Nasty C and Maggz.
The 20th edition of the Metro FM Music Awards wasn't just about who won — it was about the evolution of the sound, the growth of the industry, and the fact that South African music is no longer just local.Nominees (
Winners in bold
): Song of the Year:Umafikizolo – ""Uyoncengwa Unyoko""
Jazzworx, MaWhoo, Thukuthela & GL_Ceejay – ""Uzizwa Kanjani""
Shandesh & Mvzzle – ""Sdudla or Slender""
Sam Deep, Nia Pearl, Boohle & Mano – ""Shela""
DJ Smallz, 031 Choppa & Uncool MC – ""Zep""
DJ Maphorisa, Xduppy, Kabza De Small, Thatohatsi, Young Stunna & Nkosazana Daughter – ""Abantwana Bakho"""
All My Life,"Oh nana nana eh
Yeyeye
Aw’ ngithi mina ngikhethe wena (Shumbehum)
Yeyeye

Yabon’ abant’ aba’understand'i yeah yeah
Ukuthi mina nawe siyophelel’ ekufeni (Ekufeni)
Take my heart, take my soul
I’ll die for you (Die for you)
Yabon’ abant’ aba’understand'i yeah yeah
Ukuthi mina nawe we were meant for each other yeah
We dali bamb’ isandla sam
Hamba nam siyoqal’ impilo phesheya

Ngicel’ unga worry sthandwa sami (Oh sthandwa sami)
Inhliziyo yam’ ikhethe wena (Khethe wena)
Aw’ ngithi all my life
All my hours
Engifis’ ukumbona nguwe (Engifis’ ukumbona nguwe)
Engifis’ ukumbona nguwe (Oh hah welele)
Engifis’ ukumbona nguwe (Nguwe, nguwe)
All my life
All my hours
Engifis’ ukumbona nguwe (Engifis’ ukumbona nguwe)

Ay' nisho baph’ abantu?
Obani bona?
Lento ingami nawe mangiy’bona (Mmh-mmh)
Khulukela sokhuphuka sehle
Angek’ ukhule wedwa and okukhulu kuseza
Yah uNkulunkulu mkhulu vele
Okweth’ ukukhuleka, kuze kukhuleke
Size sikhokhobe, ngibe umkhulu yeah?
Uzoba ugogo, okay, cool relax
Inhliziy’ izozim’ ithi ntsi, stru bheka
Bazoyithol’ isagcwel’ ithi mfi, my shukela
Usang’ shupela
Ngaz'vukela, wang’ vusela
Wazvukela, waz’ ncukela
I'stuff sakho ettt

Yabon’ abant’ aba’understand'i yeah yeah
Ukuthi mina nawe we were meant for each other yeah
We dali bamb’ isandla sam
Hamba nam siyoqal’ impilo phesheya

Uyabon’ emhlaben ‘ uthand’ olunjena alutholakali
Kodwa’ ukuthanda wena dali akuyon’ mistake
(Ukuthandwa nguwe dali)
Ukuthandwa nguwe kumnandi njenge Milkshake
All my life ngo suku lwam' lok’ gcina engifis’ ukumbona nguwe (Oh ah welele)
We dali mamela (Mamela)
Imizwa yam\ ithol’ ukukhanya
Nhliziyo yam' ithol’ ikhaya
Uyisibani sempilo yami

Ngicel’ unga worry sthandwa sami (Oh sthandwa sami)
Inhliziyo yam’ ikhethe wena (Khethe wena)
Aw’ ngithi all my life
All my hours
Engifis’ ukumbona nguwe (Engifis’ ukumbona nguwe)
Engifis’ ukumbona nguwe (Oh hah welele)
Engifis’ ukumbona nguwe (Nguwe, nguwe)
All my life
All my hours
Engifis’ ukumbona nguwe (Engifis’ ukumbona nguwe)

Engifis’ ukumbona nguwe (Oh hah welele)
Engifis’ ukumbona nguwe (Nguwe, nguwe)
All my life
All my hours
Engifis’ ukumbona nguwe (Engifis’ ukumbona nguwe)"
Awuhlabe Kabili,
Dear Ex Yami,
Malunde (feat. Springle),"Yah yah yah
Eh Zee Nxumalo
Eh Zee Nxumalo
S'hamba nge

Aw' bathi bhala nayi ngoma
Kazi bayothini la egoli
Ngithi full set ayi sorry
Ingoma xabanisa abo chommie
S'fun ishelter sbali
Uyakhumuleta sbali
Ng'vuka sengilate espanini
Thumela ne uber sbali
Aw' bathi bhala nayi ngoma
Kazi bayothini la egoli
Ngithi full set ayi sorry
Ingoma xabanisa abo chommie
S'fun ishelter sbali
Uyakhumuleta sbali
Ng'vuka sengilate espanini

Bayakhala kahle
Lomtwana uwiphatha sikahla
Bababona eh, labafana baya bala-bala
Ulala malund'
Ulala malund'
Ulala malund' uPalesa
Ulala malund'
Ulala malund'
Ulala malund' uMbalenhle
Bayakhala kahle
Lomtwana ubaphathis' ikhanda
Baya bala bala
Mabam'bona bayakhala-khala
Ulala malund'
Ulala malund'
Ulala malund' uPalesa
Ulala malund'
Ulala malund'
Ulala malund' uMbalenhle

Aw' bathi bhala nayi ngoma
Kazi bayothini la egoli
Ngithi full set ayi sorry
Ingoma xabanisa abo chommie
S'fun ishelter sbali
Uyakhumuleta sbali
Ng'vuka sengilate espanini
Thumela ne uber sbali
Aw' bathi bhala nayi ngoma
Kazi bayothini la egoli
Ngithi full set ayi sorry
Ingoma xabanisa abo chommie
S'fun ishelter sbali
Uyakhumuleta sbali
Ng'vuka sengilate espanini

Bayakhala kahle
Lomtwana uwiphatha sikahla
Bababona eh, labafana baya bala-bala
Ulala malund'
Ulala malund'
Ulala malund' uPalesa
Ulala malund'
Ulala malund'
Ulala malund' uMbalenhle
Bayakhala kahle
Lomtwana ubaphathis' ikhanda
Baya bala bala
Mabam'bona bayakhala-khala
Ulala malund'
Ulala malund'
Ulala malund' uPalesa
Ulala malund'
Ulala malund'
Ulala malund' uMbalenhle

Aw' bathi bhala nayi ngoma
Kazi bayothini la egoli
Ngithi full set ayi sorry
Ingoma xabanisa abo chommie
S'fun ishelter sbali
Uyakhumuleta sbali
Ng'vuka sengilate espanini
Thumela ne uber sbali
Aw' bathi bhala nayi ngoma
Kazi bayothini la egoli
Ngithi full set ayi sorry
Ingoma xabanisa abo chommie
S'fun ishelter sbali
Uyakhumuleta sbali
Ng'vuka sengilate espanini"
Naledi,"Oh, oh, no
Mhm
Mhm
Oh, oh, yeah

Wen' uyinkanyezi elethu kukhanya empilweni yami, mhm (Naledi)
Nsuku zonke zokuphila kwami ngiyozichitha nawe, mhm (Naledi)

(Naledi)
Vuleka masango ngingene (Oh, oh)
Nhliziyo izikhethele wena (Wena, wena, wena, yeah-yeah)
(Naledi)
Vuleka masango ngingene (Oh, oh)
Nhliziyo izifunela wena (Wena, wena, wena)

Aw' welele welele welele
Aw' welele welele, oh, uh (Oh, baby)
Aw' welele welele welele
Aw' welele welele, oh, uh

Uk'fika kwakho empilweni yami kulethi intokozo
Nenjabulo
Wena ulethi ukuthula
Sebefike bonke bakhuluma
Wena uyisthandwa sami
Uyintokozo yami

Wen' uyinkanyezi elethu kukhanya empilweni yami, mhm (Naledi)
Nsuku zonke (Nsuku zonke) zokuphila kwami (Zokuphila kwami) ngiyozichitha nawe (Oh, oh), mhm (Naledi)

(Naledi)
Vuleka masango ngingene (Oh, oh)
Nhliziyo izikhethele wena (Wena, wena, wena, yeah-yeah)
(Naledi)
Vuleka masango ngingene (Oh, oh)
Nhliziyo izifunela wena (Wena, wena, wena)

Nana-na-na
Nana-na-na, nana, na
(Naledi)
Nana-na-na
Nana-na-na, nana, na

Uk'fika kwakho empilweni yami kulethi intokozo
Nenjabulo
Wena ulethi ukuthula
Sebefike bonke bakhuluma
Wena uyisthandwa sami
Uyintokozo yami

(Naledi)"
Ngiyakuthanda,
Romeo & Juliet,"Dali ngawe ngiyay’qhenya
Uma ngikhuluma ngawe, my darli, bathi ngiyayitshela (Oh, oh)
Ngifuna sihlale together
Ngaloluthando, my darli, ngifuna sibafakel’ i'pressure
Ngizoba uRomeo wen’ uJuliet

Loluthando lwangempela, ak’silo lwamadlala
Noma bengeza bebaningi ngeke bas’qede
Loluthando lwangempela, ak’silo lwamadlala
Noma bengeza bebaningi ngeke bas’qede

Ngifuna sihlale together (Together, my love)
Ngoba mina ngawe ngIyazifelaa (Ngiyas’fela, my love)
Ngifuna sihlale ndawonyе (Ndawonye)
Ngik'thandile, my love
Ngifuna sihlalе together (Together, my love)
Ngoba mina ngawe ngIyazifelaa (Ngiyas’fela, my love)
Ngifuna sihlale ndawonye (Ndawonye)
Ngik'thandile, my love

Uthando lwethu darli alufaniswa nelwabanye
Luhlukile nelwabanye
Mina nawe sthandwa sami sohlala sindawonye (Hey, yeah)
Aweh, sondela, my love
Aweh, sondela, my lovey
Thath' uthando lami
Weh darli ngizothath' uthando lwakho
Sikhule ndawonye

Dali ngawe ngiyay’qhenya
Uma ngikhuluma ngawe, my darli, bathi ngiyayitshela (Ngiyayitshela oh, oh)
Ngifuna sihlale together
Ngaloluthando, my darli, ngifuna sibafakel’ i'pressure
Ngizoba uRomeo wen’ uJuliet

Loluthando lwangempela, ak’silo lwamadlala
Noma bengeza bebaningi ngeke bas’qede
Loluthando lwangempela, ak’silo lwamadlala
Noma bengeza bebaningi ngeke bas’qede
Loluthando lwangempela, ak’silo lwamadlala
Noma bengeza bebaningi ngeke bas’qede
Loluthando lwangempela, ak’silo lwamadlala
Noma bengeza bebaningi ngeke bas’qede

Ngifuna sihlale together (Together, my love)
Ngoba mina ngawe ngIyazifelaa (Ngiyas’fela, my love)
Ngifuna sihlale ndawonye (Ndawonye)
Ngik'thandile, my love
Ngifuna sihlale together (Together, my love)
Ngoba mina ngawe ngIyazifelaa (Ngiyas’fela, my love)
Ngifuna sihlale ndawonye (Ndawonye)
Ngik'thandile, my love"
